日期,单位净值,累计净值,基金代码,基金名称
2019-12-24 00:00:00,1.0959,1.0959,007048,平安安心灵活配置混合C
2019-12-23 00:00:00,1.0956,1.0956,007048,平安安心灵活配置混合C
2019-12-20 00:00:00,1.0996,1.0996,007048,平安安心灵活配置混合C
2019-12-19 00:00:00,1.1007,1.1007,007048,平安安心灵活配置混合C
2019-12-18 00:00:00,1.0992,1.0992,007048,平安安心灵活配置混合C
2019-12-17 00:00:00,1.0982,1.0982,007048,平安安心灵活配置混合C
2019-12-16 00:00:00,1.0923,1.0923,007048,平安安心灵活配置混合C
2019-12-13 00:00:00,1.0943,1.0943,007048,平安安心灵活配置混合C
2019-12-12 00:00:00,1.0851,1.0851,007048,平安安心灵活配置混合C
2019-12-11 00:00:00,1.0867,1.0867,007048,平安安心灵活配置混合C
2019-12-10 00:00:00,1.0796,1.0796,007048,平安安心灵活配置混合C
2019-12-09 00:00:00,1.0808,1.0808,007048,平安安心灵活配置混合C
2019-12-06 00:00:00,1.0816,1.0816,007048,平安安心灵活配置混合C
2019-12-05 00:00:00,1.08,1.08,007048,平安安心灵活配置混合C
2019-12-04 00:00:00,1.0771,1.0771,007048,平安安心灵活配置混合C
2019-12-03 00:00:00,1.0789,1.0789,007048,平安安心灵活配置混合C
2019-12-02 00:00:00,1.0771,1.0771,007048,平安安心灵活配置混合C
2019-11-29 00:00:00,1.0769,1.0769,007048,平安安心灵活配置混合C
2019-11-28 00:00:00,1.0803,1.0803,007048,平安安心灵活配置混合C
2019-11-27 00:00:00,1.0827,1.0827,007048,平安安心灵活配置混合C
2019-11-26 00:00:00,1.0817,1.0817,007048,平安安心灵活配置混合C
2019-12-24 00:00:00,1.0667,1.0667,007049,平安鑫安混合E
2019-12-23 00:00:00,1.0664,1.0664,007049,平安鑫安混合E
2019-12-20 00:00:00,1.0655,1.0655,007049,平安鑫安混合E
2019-12-19 00:00:00,1.0654,1.0654,007049,平安鑫安混合E
2019-12-18 00:00:00,1.0654,1.0654,007049,平安鑫安混合E
2019-12-17 00:00:00,1.0654,1.0654,007049,平安鑫安混合E
2019-12-16 00:00:00,1.0653,1.0653,007049,平安鑫安混合E
2019-12-13 00:00:00,1.0651,1.0651,007049,平安鑫安混合E
2019-12-12 00:00:00,1.065,1.065,007049,平安鑫安混合E
